0 17,60000000
1 17,60000000
2 17,60000000
3 17,60000000
4 17,60000000
5 17,60000000
6 17,60000000
7 17,60000000
8 17,60000000
9 17,60000000
10 17,60000000
11 17,60000000
12 17,60000000
13 17,60000000
14 17,60000000
15 17,60000000
16 17,60000000
17 17,60000000
18 17,60000000
19 17,60000000
20 17,60000000
21 17,60000000
22 17,60000000
23 17,60000000
24 17,60000000
25 17,60000000
26 17,60000000
27 17,60000000
28 17,00000000
29 17,00000000
30 17,00000000
31 17,00000000
32 17,00000000
33 16,40000000
34 16,40000000
35 16,40000000
36 15,80000000
37 15,80000000
38 15,20000000
39 15,20000000
40 14,60000000
41 14,60000000
42 14,60000000
43 14,00000000
