0 60,00000000
1 60,00000000
2 60,00000000
3 60,00000000
4 60,00000000
5 60,00000000
6 60,00000000
7 60,00000000
8 60,00000000
9 60,00000000
10 60,00000000
11 60,00000000
12 60,00000000
13 60,00000000
14 60,00000000
15 60,00000000
16 60,00000000
17 60,00000000
18 60,00000000
19 60,00000000
20 60,00000000
21 60,00000000
22 60,00000000
23 60,00000000
24 60,00000000
25 60,00000000
26 60,00000000
27 60,00000000
28 60,00000000
29 60,00000000
30 60,00000000
31 60,00000000
32 60,00000000
33 60,00000000
34 60,00000000
35 60,00000000
36 60,00000000
37 60,00000000
38 60,00000000
39 60,00000000
40 60,00000000
41 60,00000000
42 60,00000000
43 60,00000000
44 60,00000000
45 60,00000000
46 60,00000000
47 60,00000000
48 60,00000000
49 60,00000000
50 60,00000000
51 60,00000000
52 60,00000000
53 60,00000000
54 60,00000000
55 60,00000000
56 60,00000000
57 60,00000000
58 60,00000000
59 60,00000000
60 60,00000000
61 60,00000000
62 60,00000000
63 60,00000000
64 60,00000000
65 60,00000000
66 60,00000000
67 60,00000000
68 60,00000000
69 60,00000000
70 60,00000000
71 60,00000000
72 60,00000000
73 60,00000000
74 60,00000000
75 60,00000000
76 60,00000000
77 60,00000000
78 60,00000000
79 60,00000000
80 60,00000000
81 60,00000000
82 60,00000000
83 60,00000000
84 60,00000000
85 60,00000000
86 60,00000000
87 60,00000000
88 60,00000000
89 60,00000000
90 60,00000000
91 60,00000000
92 60,00000000
93 60,00000000
94 60,00000000
